Card Name	Decks	Avg
Inventor's Apprentice	0.8	3.0
Key to the City	0.8	1.2
Lathnu Hellion	0.8	3.6
Regisaur Alpha	0.8	2.2
Sandwurm Convergence	0.8	1.8
Seekers' Squire	0.8	2.8
Tezzeret the Schemer	0.8	2.8
Twilight Prophet	0.8	2.2
Abandoned Sarcophagus	0.6	1.3
Aether Meltdown	0.6	2.0
Countervailing Winds	0.6	4.0
Desert's Hold	0.6	2.3
Drake Haven	0.6	3.8
Golden Demise	0.6	1.5
Huatli, Radiant Champion	0.6	1.3
Marionette Master	0.6	3.0
Never / Return	0.6	1.0
One With the Wind	0.6	4.0
Snubhorn Sentry	0.6	2.3
Spell Swindle	0.6	2.0
Tempest Caller	0.6	1.8
Wildgrowth Walker	0.6	3.3
Cataclysmic Gearhulk	0.5	1.3
Channeler Initiate	0.5	3.7
Cloudblazer	0.5	2.0
Commune with Dinosaurs	0.5	4.0
Contraband Kingpin	0.5	3.7
Deeproot Waters	0.5	3.3
Duress	0.5	2.3
Dusk / Dawn	0.5	2.3
Grasping Scoundrel	0.5	4.0
Hour of Glory	0.5	1.3
Mist-Cloaked Herald	0.5	3.7
Nezahal, Primal Tide	0.5	1.0
Noxious Gearhulk	0.5	1.0
Opt	0.5	3.0
Rhonas's Monument	0.5	3.0
Rigging Runner	0.5	2.7
Samut, Voice of Dissent	0.5	1.3
Sheltering Light	0.5	1.3
Swift Warden	0.5	2.0
Tetzimoc, Primal Death	0.5	1.7
The Scorpion God	0.5	1.0
Trial of Ambition	0.5	3.0
Watertrap Weaver	0.5	3.0
Azor, the Lawbringer	0.3	1.5
Combat Celebrant	0.3	4.0
Curator of Mysteries	0.3	1.5
Dark Intimations	0.3	1.0
Deadeye Tracker	0.3	1.0
Elenda, the Dusk Rose	0.3	2.0
Forsake the Worldly	0.3	2.0
Gideon's Intervention	0.3	1.0
Growing Rites of Itlimoc	0.3	4.0
Kinjalli's Sunwing	0.3	2.0
Lifecrafter's Bestiary	0.3	1.0
Master Trinketeer	0.3	3.5
Metallurgic Summonings	0.3	1.0
Orazca Relic	0.3	4.0
Path of Mettle	0.3	3.0
Relentless Raptor	0.3	2.0
Revolutionary Rebuff	0.3	1.0
Sailor of Means	0.3	4.0
Shefet Monitor	0.3	3.5
Thunderherd Migration	0.3	4.0
Tilonalli's Summoner	0.3	2.0
Vizier of the Anointed	0.3	3.0
Vona's Hunger	0.3	1.0
Warkite Marauder	0.3	3.5
Wayward Swordtooth	0.3	4.0
Admiral's Order	0.2	2.0
Aerial Responder	0.2	4.0
Aven Wind Guide	0.2	1.0
Aviary Mechanic	0.2	4.0
Baral's Expertise	0.2	2.0
Beneath the Sands	0.2	1.0
Blazing Volley	0.2	3.0
Bloodcrazed Paladin	0.2	1.0
Bloodlust Inciter	0.2	2.0
Bontu the Glorified	0.2	1.0
Bounty of the Luxa	0.2	2.0
Brass's Bounty	0.2	1.0
Built to Smash	0.2	2.0
Cartouche of Ambition	0.2	1.0
Cartouche of Zeal	0.2	4.0
Cathartic Reunion	0.2	4.0
Claim / Fame	0.2	3.0
Cogworker's Puzzleknot	0.2	1.0
Crested Sunmare	0.2	2.0
Cruel Reality	0.2	1.0
Cultivator's Caravan	0.2	4.0
Djeru's Renunciation	0.2	1.0
Drover of the Mighty	0.2	4.0
Dynavolt Tower	0.2	2.0
Expel from Orazca	0.2	1.0
Fiery Cannonade	0.2	2.0
Filigree Familiar	0.2	3.0
Fleetwheel Cruiser	0.2	4.0
Fling	0.2	1.0
Forerunner of the Legion	0.2	2.0
Forsaken Wastes	0.2	2.0
Fourth Bridge Prowler	0.2	4.0
Glint-Nest Crane	0.2	4.0
Glory-Bound Initiate	0.2	1.0
Grind / Dust	0.2	1.0
Haze of Pollen	0.2	4.0
Herald of Anguish	0.2	4.0
Heroic Intervention	0.2	2.0
Huatli, Warrior Poet	0.2	1.0
Hungry Flames	0.2	3.0
Insidious Will	0.2	1.0
Kopala, Warden of Waves	0.2	1.0
Maverick Thopterist	0.2	4.0
Metalspinner's Puzzleknot	0.2	1.0
Metalwork Colossus	0.2	1.0
Narnam Renegade	0.2	1.0
New Horizons	0.2	4.0
New Perspectives	0.2	4.0
Nimble Obstructionist	0.2	1.0
Otepec Huntmaster	0.2	2.0
Oviya Pashiri, Sage Lifecrafter	0.2	1.0
Paladin of Atonement	0.2	4.0
Path of Discovery	0.2	1.0
Pride Sovereign	0.2	4.0
Prophetic Prism	0.2	4.0
Ranging Raptors	0.2	3.0
Reaver Ambush	0.2	2.0
Reckless Rage	0.2	4.0
Release to the Wind	0.2	1.0
Renegade Rallier	0.2	2.0
Renegade Wheelsmith	0.2	2.0
River Heralds' Boon	0.2	3.0
River's Rebuke	0.2	1.0
Samut, the Tested	0.2	1.0
Sand Strangler	0.2	2.0
Seafloor Oracle	0.2	3.0
Secrets of the Golden City	0.2	2.0
Servo Schematic	0.2	4.0
Shadow of the Grave	0.2	4.0
Shapers' Sanctuary	0.2	3.0
Silent Gravestone	0.2	3.0
Skulduggery	0.2	1.0
Slippery Scoundrel	0.2	3.0
Squire's Devotion	0.2	1.0
Star of Extinction	0.2	1.0
Sunset Pyramid	0.2	2.0
Tendershoot Dryad	0.2	1.0
The Locust God	0.2	1.0
Tilonalli's Skinshifter	0.2	4.0
Torment of Hailfire	0.2	1.0
Vanquisher's Banner	0.2	1.0
Victory's Herald	0.2	1.0
Vile Manifestation	0.2	2.0
Vizier of Tumbling Sands	0.2	4.0
Woodweaver's Puzzleknot	0.2	4.0
