deckname,numlands,cmc_avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Aetherflux,22,3.1315789473684212,0,0.0,15.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BIAJ-U,24,3.111111111111111,0,4.0,10.0,11.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bluedrazi,24,3.7777777777777777,0,0.0,13.0,8.0,4.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
UR-Dynavolt,24,2.888888888888889,0,0.0,19.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Virtuoso2,24,3.138888888888889,0,1.0,14.0,12.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Visions1,24,2.9444444444444446,0,2.0,16.0,12.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
UR-Visions2,24,2.638888888888889,0,7.0,11.0,10.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uw-Prison,24,3.081081081081081,0,0.0,17.0,4.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UG-Splendid-Ramplemation,25,3.914285714285714,0,1.0,10.0,4.0,8.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Visions,24,2.6666666666666665,0,8.0,9.0,13.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Godmode_U,24,2.7222222222222223,0,8.0,6.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khans_Tinker_cory,25,2.4,4,2.0,23.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Quickling,24,2.5,0,11.0,6.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oldKhans_Tinker1,25,2.7714285714285714,0,5.0,18.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oldkhan_tinker,25,2.7714285714285714,0,8.0,12.0,8.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
TheDarkness-ideas,20,0.8181818181818182,20,16.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TheDarkness,22,1.263157894736842,16,8.0,8.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noLands,0,2.1666666666666665,11,12.0,12.0,14.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ensoul,14,1.2173913043478262,12,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burn,18,1.6666666666666667,0,22.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demonic-Pact,24,3.638888888888889,0,5.0,7.0,6.0,5.0,8.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
UR-Control-burn,27,2.787878787878788,0,6.0,16.0,4.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
UR-Control,26,3.0588235294117645,0,5.0,16.0,1.0,4.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
UR-Prowess-LayaMonarez,20,1.975,0,23.0,10.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
UR-Prowess-RossMeriam,21,2.128205128205128,0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
UR-Prowess,22,2.026315789473684,0,19.0,14.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
URb-Prowess,20,2.125,0,21.0,13.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
URg-Prowess,23,2.2432432432432434,0,15.0,14.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
URw-Prowess,23,2.2432432432432434,0,16.0,11.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
bant-coco,25,2.8,0,0.0,15.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coco-bant,25,2.4857142857142858,0,4.0,14.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-Devotion,24,3.2222222222222223,0,2.0,8.0,14.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR_Devotion,24,3.888888888888889,0,4.0,8.0,3.0,9.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
R_Control,25,3.914285714285714,0,0.0,5.0,9.0,8.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
U R-TinkerSligh,22,2.289473684210526,4,8.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U-Tinker,22,2.263157894736842,5,8.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UG_Days,24,2.9722222222222223,0,6.0,7.0,12.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Tinker,22,2.3684210526315788,4,8.0,8.0,8.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-engineer,24,2.8333333333333335,2,4.0,16.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR_Burn,22,2.0526315789473686,0,14.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR_Burn2,22,1.868421052631579,0,15.0,14.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Days,23,2.108108108108108,0,8.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wb_Devotion,24,2.5833333333333335,0,4.0,14.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goggles,25,2.5142857142857142,0,7.0,12.0,9.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goggles_5c,25,3.257142857142857,0,0.0,9.0,16.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
goggles_rw,24,2.4444444444444446,4,2.0,12.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goggles_temur,25,3.2857142857142856,0,1.0,9.0,13.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
jund_delve,25,3.8285714285714287,0,0.0,12.0,5.0,8.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
temur1,25,2.914285714285714,0,7.0,9.0,7.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temur_gerg,25,3.1142857142857143,0,5.0,10.0,7.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temur_reddit,24,2.5833333333333335,0,13.0,7.0,5.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timewalker_jeskai,26,3.0588235294117645,0,9.0,7.0,5.0,3.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ur-chimera,25,3.2,0,4.0,8.0,10.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5c-foretold,23,2.891891891891892,0,10.0,6.0,12.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5c-foretold2,24,2.388888888888889,0,4.0,17.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dimir-artifacts,22,2.4473684210526314,0,16.0,7.0,10.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
favorable-winds-2,24,3.189189189189189,0,0.0,12.0,12.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
favorable-winds-3,25,3.5428571428571427,0,4.0,8.0,2.0,10.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
favorable-winds-4,23,1.9189189189189189,0,13.0,16.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
favorable-winds-5,22,1.5526315789473684,0,21.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
favorable-winds-6,23,1.8108108108108107,0,15.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
god-pharohs-gift,23,3.2162162162162162,0,8.0,9.0,4.0,7.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
god-pharohs,23,3.2162162162162162,0,8.0,9.0,4.0,7.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
grixis-amulet,25,3.4857142857142858,0,4.0,8.0,4.0,11.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
metalwork,24,3.054054054054054,4,2.0,8.0,14.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
mono-u-foretold,23,3.108108108108108,0,5.0,5.0,16.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono-u-foretold2,23,3.108108108108108,0,8.0,10.0,3.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rb-punisher-v1,24,3.0277777777777777,0,9.0,7.0,4.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rb-punisher-v2,24,2.8333333333333335,0,9.0,8.0,6.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rb-punisher-v3,24,2.7222222222222223,0,9.0,10.0,5.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rb-punisher,24,3.2777777777777777,0,6.0,7.0,4.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rg-monsters,24,3.0555555555555554,0,2.0,15.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rix_bant_cartouche,22,1.8421052631578947,0,12.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rix_uw_cartouche,21,1.5897435897435896,0,18.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rug-prowess,18,1.3095238095238095,0,31.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sultai-constrictor,24,2.5277777777777777,0,7.0,16.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temur-counters,24,3.3055555555555554,0,0.0,16.0,6.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ug-draw,24,3.3333333333333335,0,4.0,7.0,9.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAJ-B,24,3.3055555555555554,0,3.0,9.0,10.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAJ-GR,24,2.611111111111111,0,7.0,16.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAJ-RB,24,2.7567567567567566,0,8.0,11.0,7.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAJ-U,24,3.5,0,4.0,8.0,9.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAJ-UB,24,3.6666666666666665,0,0.0,12.0,8.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAJ-UR,24,2.9166666666666665,0,8.0,8.0,11.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAJ-UW,24,3.5555555555555554,0,0.0,16.0,4.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAJ-esper,28,3.0,0,0.0,16.0,7.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUG-Frog,25,2.4285714285714284,2,8.0,10.0,9.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eldrazi,24,3.388888888888889,0,0.0,12.0,8.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR-Goggles-tokens,24,2.8055555555555554,0,7.0,13.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MonoBlack,25,3.3142857142857145,0,4.0,7.0,8.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG-Eldrazi,25,3.085714285714286,0,4.0,13.0,4.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RW-Goggles,25,3.3714285714285714,0,4.0,6.0,8.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirits,24,2.7222222222222223,0,10.0,5.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TurboTits,23,2.135135135135135,0,11.0,16.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U-Eldrazi,24,2.9444444444444446,4,0.0,10.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UG-Evoleap,25,2.914285714285714,0,4.0,10.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-BIAJ-LD,24,3.1944444444444446,0,1.0,15.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Control-Anderson,26,2.4411764705882355,0,9.0,13.0,7.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Fevered-Visions,24,2.9722222222222223,0,2.0,15.0,8.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Flyers-Saito,24,2.3333333333333335,0,8.0,12.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Flyers-Tomoharu-Saito,24,2.3333333333333335,0,8.0,12.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Goggles-2,25,3.4857142857142858,0,2.0,10.0,8.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Goggles-Tod-Anderson,26,2.4411764705882355,0,9.0,13.0,7.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Goggles-tokens,24,2.9743589743589745,0,6.0,14.0,6.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Googles,23,2.7567567567567566,0,4.0,11.0,18.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-True-Madness,24,2.8055555555555554,0,8.0,9.0,12.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Visions,25,2.5714285714285716,0,4.0,14.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URW-Visions-Control,26,2.7058823529411766,0,8.0,9.0,8.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UW_Flyers,25,3.2,0,0.0,12.0,9.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterveil-Ramp,24,3.9722222222222223,0,3.0,10.0,4.0,6.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Willbreaker,24,2.9444444444444446,0,0.0,21.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brain in a jar,24,3.0,0,4.0,12.0,10.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sultai-frog,24,2.4722222222222223,1,8.0,9.0,11.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artisan of Forms,26,3.4444444444444446,0,4.0,16.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
BIG RED,24,2.5555555555555554,0,0.0,20.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Big Green,24,3.6666666666666665,0,4.0,12.0,0.0,8.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Enbantments,22,2.210526315789474,0,12.0,8.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethereal_Armor,24,2.0555555555555554,0,12.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evolve,24,2.888888888888889,0,8.0,8.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EvolveOmancer - theros,24,2.888888888888889,0,8.0,8.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg's RU,24,2.388888888888889,0,0.0,25.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Master of the Elements,24,3.138888888888889,0,0.0,8.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonoBlueDevotion,25,2.4571428571428573,0,8.0,11.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obsedot Whip,25,3.7142857142857144,0,0.0,3.0,11.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obsedot whip2,25,3.5142857142857142,0,4.0,0.0,12.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prophet,24,3.5833333333333335,0,0.0,16.0,4.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RED - Midrange - theros,24,2.5555555555555554,0,0.0,20.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG_Hammer IRL,24,3.111111111111111,0,4.0,4.0,16.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RG_Hammer Test,24,3.111111111111111,0,4.0,4.0,16.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Deck Ties - theros,20,2.1,0,16.0,8.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Deck Wins -internet,21,2.2564102564102564,0,6.0,21.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red devotion - pt dublin theros,26,2.9411764705882355,0,0.0,17.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rg hammer aggro,25,3.1714285714285713,0,0.0,12.0,9.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW - theros,22,1.736842105263158,0,20.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Young Pyromancer 5,24,2.3333333333333335,0,8.0,12.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Young Pyromancer,24,2.5555555555555554,0,4.0,12.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Younger Pyromancer2,24,2.5555555555555554,0,4.0,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boros avenger,23,2.72972972972973,0,2.0,16.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monoblack necro,24,3.4166666666666665,0,4.0,2.0,15.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
necro 2,25,3.2857142857142856,0,8.0,0.0,12.0,10.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
necro cycle,24,2.888888888888889,0,12.0,0.0,12.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Fliers,25,2.6857142857142855,0,6.0,10.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Fliers2,25,3.2,0,4.0,14.0,0.0,11.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
GloryCombo,21,2.641025641025641,0,12.0,12.0,8.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Pay the Price,25,2.5714285714285716,0,8.0,12.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sly,20,1.5,0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jund,24,2.9722222222222223,0,4.0,14.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
