deckname,numlands,cmc_avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Ringbreaker-2,25,2.914285714285714,3,3.0,10.0,6.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ringbreaker-R,25,2.7142857142857144,0,8.0,11.0,6.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temur-Bigmur,25,2.7714285714285714,0,11.0,7.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temur-Bigmur2,25,2.8285714285714287,0,7.0,10.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atarka-red,22,1.9473684210526316,0,17.0,15.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collected-company-midrange,25,2.7142857142857144,0,4.0,13.0,11.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
convgerge,24,3.4722222222222223,0,0.0,4.0,16.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goggles,24,2.2777777777777777,4,4.0,12.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeskai-aggro,23,2.108108108108108,0,16.0,11.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
monoR-galli,21,1.7435897435897436,0,20.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ringbreaker,25,3.2,0,2.0,13.0,5.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temur-black,26,3.0,0,4.0,12.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temur-gerg,24,2.4166666666666665,0,10.0,12.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temur-sligh,22,2.0526315789473686,0,16.0,12.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
temur1,25,2.8857142857142857,0,6.0,8.0,8.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temur_aggro_readercolin,21,2.358974358974359,0,12.0,16.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
temur_megamorph_galli,24,2.1944444444444446,0,10.0,13.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timewalker-jeskai,25,4.0285714285714285,0,2.0,9.0,7.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
B-Devotion,24,3.3055555555555554,0,4.0,5.0,15.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
